exp_num,disp_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trial_index,disp_stim,target_stim,sub_react,sub_RT,note
1,1440p_flscr,null,null,null,2025-05-26_15:21:42,34.04942959999971,GO,0,0,b,Any,yes,0.43531540000185487,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:44,35.20394759999908,GO,0,1,d,Any,yes,0.3741904999988037,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:45,36.26467219999904,GO,0,2,d,Any,yes,0.31364920000123675,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:46,37.51776179999797,GO,0,3,d,Any,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:47,38.7689062999998,GO,0,4,b,Any,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:48,40.02093989999776,GO,0,5,b,Any,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:49,41.03822249999939,GO,0,6,b,Any,yes,0.2615823000014643,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:50,41.95319129999916,GO,0,7,b,Any,yes,0.16407280000203173,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:51,42.86743840000054,GO,0,8,d,Any,yes,0.16542149999804678,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:52,43.86801909999849,GO,0,9,d,Any,yes,0.24967739999920013,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:53,44.89845409999907,GO,0,10,d,Any,yes,0.279728100002103,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:54,45.88483930000075,GO,0,11,d,Any,yes,0.2374840000011318,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:55,46.813245900000766,GO,0,12,b,Any,yes,0.1730905000003986,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:56,47.79044799999974,GO,0,13,b,Any,yes,0.22884279999925639,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:57,48.740286500000366,GO,0,14,d,Any,yes,0.202429500001017,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:58,49.62610669999776,GO,0,15,d,Any,yes,0.13884179999877233,None
1,1440p_flscr,null,null,null,2025-05-26_15:21:59,50.50068149999788,GO,0,16,b,Any,yes,0.12761429999954998,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:00,51.36851679999745,GO,0,17,b,Any,yes,0.11889410000003409,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:01,52.61866999999984,GO,0,18,d,Any,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:02,53.768947199998365,GO,0,19,d,Any,yes,0.4002909000009822,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:03,54.66269529999772,GO,0,20,b,Any,yes,0.14289319999807049,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:04,55.63119059999735,GO,0,21,b,Any,yes,0.2191664000019955,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:05,56.64205799999763,GO,0,22,b,Any,yes,0.26453509999919333,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:06,57.695088000000396,GO,0,23,d,Any,yes,0.30006219999995665,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:25,76.45783939999819,GNG,0,0,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:26,77.71710679999887,GNG,0,1,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:27,78.97586809999848,GNG,0,2,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:29,80.16931639999893,GNG,0,3,p,p,yes,0.4451435000009951,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:30,81.42423749999944,GNG,0,4,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:31,82.61912769999981,GNG,0,5,p,p,yes,0.4458983000004082,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:32,83.87136009999813,GNG,0,6,p,p,yes,0.5063589999990654,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:34,85.12128909999956,GNG,0,7,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:35,86.21299440000075,GNG,0,8,p,p,yes,0.34407180000198423,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:36,87.46844919999785,GNG,0,9,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:37,88.57488689999809,GNG,0,10,q,p,yes,0.3554008999999496,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:38,89.83042809999824,GNG,0,11,q,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:39,90.9620548999992,GNG,0,12,p,p,yes,0.38341159999981755,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:41,92.21919960000014,GNG,0,13,p,p,no,None,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:42,93.39141709999967,GNG,0,14,p,p,yes,0.41739810000217403,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:43,94.56737359999897,GNG,0,15,p,p,yes,0.4279138999991119,None
1,1440p_flscr,null,null,null,2025-05-26_15:22:44,95.78107439999803,GNG,0,16,p,p,yes,0.46084870000049705,None
