exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
49,1440p_debug,1,1,1,2025-01-10_18:34:01,12.088334700092673,solo_SD,1,0,9.463638300076127,1,0,0,-6,-4,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:07,18.905584200285375,solo_SD,1,1,6.816756600048393,0,1,0,4,-2,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:13,24.943065600004047,solo_SD,1,2,6.037096700165421,1,0,0,-2,-2,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:21,32.09418709995225,solo_SD,1,3,7.150510599836707,0,1,0,1,-2,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:29,40.206878300290555,solo_SD,1,4,8.112319499719888,0,1,0,4,-4,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:36,47.783123900182545,solo_SD,1,5,7.575811999849975,1,1,1,5,2,null,null,null,null
49,1440p_debug,1,1,1,2025-01-10_18:34:57,68.25279240030795,dual_SD,2,0,14.1249132999219,0,1,0,2,-3,0,1,0,null
49,1440p_debug,1,1,1,2025-01-10_18:35:09,80.05873320018873,dual_SD,2,1,11.805543199647218,1,1,0,4,-1,1,0,0,null
49,1440p_debug,1,1,1,2025-01-10_18:35:22,93.9362008003518,dual_SD,2,2,13.877087000291795,0,1,1,4,5,1,1,0,null
49,1440p_debug,1,1,1,2025-01-10_18:35:35,107.000999300275,dual_SD,2,3,13.064375000074506,1,1,1,3,1,1,0,0,null
49,1440p_debug,1,1,1,2025-01-10_18:35:50,121.50806799996644,dual_SD,2,4,14.506283999886364,0,0,0,-4,-5,0,1,0,null
49,1440p_debug,1,1,1,2025-01-10_18:36:05,136.07269760034978,dual_SD,2,5,14.564275200013071,1,1,0,6,-3,1,1,0,null
