exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
51,1440p_debug,1,1,1,2025-01-10_18:59:35,17.147361299954355,solo_SD,1,0,14.937373399734497,1,1,0,5,-5,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_18:59:45,27.46801649965346,solo_SD,1,1,10.320167900063097,0,0,0,-3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_18:59:58,40.68485509976745,solo_SD,1,2,13.21624459978193,0,0,0,-4,-5,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:06,48.12781109986827,solo_SD,1,3,7.4422104000113904,0,1,0,4,-5,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:14,56.580848099663854,solo_SD,1,4,8.45256770029664,0,1,0,3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:22,64.04625190002844,solo_SD,1,5,7.46504670009017,0,0,0,-4,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:29,71.41786019969732,solo_SD,1,6,7.3712023999542,1,1,0,4,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:36,78.26932979980484,solo_SD,1,7,6.85099389962852,1,1,0,5,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:43,85.81538179982454,solo_SD,1,8,7.545694600325078,0,0,0,-4,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:52,93.88011209992692,solo_SD,1,9,8.064351100008935,1,1,0,3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:00:59,101.36467539984733,solo_SD,1,10,7.484213599935174,1,1,0,3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:01:06,108.53963189991191,solo_SD,1,11,7.174589699599892,1,1,0,4,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:01:13,115.41163229988888,solo_SD,1,12,6.871649300213903,1,1,0,3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:01:20,121.85369539959356,solo_SD,1,13,6.441725499927998,0,0,0,-4,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:01:27,129.08924789959565,solo_SD,1,14,7.235183499753475,1,1,0,5,-5,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:01:34,136.1613251999952,solo_SD,1,15,7.071669599972665,0,1,0,3,-6,null,null,null,null
51,1440p_debug,1,1,1,2025-01-10_19:02:00,162.53811099985614,dual_SD,2,0,12.969603299628943,0,1,1,3,5,1,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:02:16,178.19858339987695,dual_SD,2,1,15.660105800256133,0,0,1,-3,4,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:02:29,191.38958399975672,dual_SD,2,2,13.190451100002974,1,1,1,3,4,1,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:02:43,205.4725438999012,dual_SD,2,3,14.082581700291485,1,0,1,-1,3,1,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:02:55,217.70806959969923,dual_SD,2,4,12.23514960007742,0,0,0,-5,-3,0,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:03:09,231.17321809986606,dual_SD,2,5,13.464804700110108,0,0,1,-6,4,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:03:21,243.24523640004918,dual_SD,2,6,12.071586600039154,1,1,1,6,4,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:03:33,254.92961669992656,dual_SD,2,7,11.684033100027591,0,0,0,-6,-3,0,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:03:47,269.2912548999302,dual_SD,2,8,14.361301000230014,1,0,0,-3,-3,0,0,1,null
51,1440p_debug,1,1,1,2025-01-10_19:04:01,282.86105559999123,dual_SD,2,9,13.569464200176299,0,0,1,-5,3,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:04:15,297.2036071997136,dual_SD,2,10,14.342209500260651,0,0,1,-6,2,0,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:04:26,308.75033929990605,dual_SD,2,11,11.546376799698919,1,1,1,6,3,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:04:40,322.07925989991054,dual_SD,2,12,13.328587099909782,1,1,0,5,-4,0,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:04:52,334.59952929988503,dual_SD,2,13,12.519922700244933,0,0,0,-5,-4,0,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:05:06,347.9347672997974,dual_SD,2,14,13.334861799608916,1,1,1,6,3,1,1,1,null
51,1440p_debug,1,1,1,2025-01-10_19:05:18,360.3212023996748,dual_SD,2,15,12.386107000056654,1,1,1,5,3,1,1,1,null
………………胡佳伟的数据
