exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,lure_mode,trail_index,stim_index,duration,sn,choice,confidence,note
14,1440p_debug,2,null,null,2025-03-26_19:46:24,9.531279100003303,练习，s2 + n2,neutral,0,0,0,1.0,2.2580504000070505,1,0,-2,null
14,1440p_debug,2,null,null,2025-03-26_19:46:32,18.34297530000913,练习，s2 + n2,neutral,0,1,0,1.0,2.2598919000010937,0,0,-5,null
14,1440p_debug,2,null,null,2025-03-26_19:46:55,41.32243310000922,正式 1，s4,neutral,1,0,0,1.0,2.295741199995973,1,1,3,null
14,1440p_debug,2,null,null,2025-03-26_19:47:05,50.71586090000346,正式 1，s4,neutral,1,1,1,1.0,2.811215699999593,1,0,-4,null
14,1440p_debug,2,null,null,2025-03-26_19:47:13,58.86055500000657,正式 1，s4,neutral,1,2,2,1.0,1.6715716000035172,1,1,2,null
14,1440p_debug,2,null,null,2025-03-26_19:47:22,68.13849500000651,正式 1，s4,neutral,1,3,3,1.0,2.810944599987124,1,0,-3,null
14,1440p_debug,2,null,null,2025-03-26_19:47:40,85.47033690000535,正式 2，n4,punish_FA,2,0,0,1.0,1.3069076999963727,0,1,2,null
14,1440p_debug,2,null,null,2025-03-26_19:47:49,94.45752500000526,正式 2，n4,punish_FA,2,1,1,1.0,2.3747745000000577,0,0,-4,null
14,1440p_debug,2,null,null,2025-03-26_19:47:58,103.40237660000275,正式 2，n4,punish_FA,2,2,2,1.0,2.447710200009169,0,0,-6,null
14,1440p_debug,2,null,null,2025-03-26_19:48:06,112.18932030000724,正式 2，n4,punish_FA,2,3,3,1.0,2.356656699994346,0,0,-5,null
14,1440p_debug,2,null,null,2025-03-26_19:48:33,138.7202810000017,正式 3，n4,punish_MS,3,0,0,1.0,8.78019669999776,1,1,5,null
14,1440p_debug,2,null,null,2025-03-26_19:48:49,154.97339120000834,正式 3，n4,punish_MS,3,1,1,1.0,6.85919930000091,1,1,2,null
14,1440p_debug,2,null,null,2025-03-26_19:48:57,163.1301558999985,正式 3，n4,punish_MS,3,2,0,1.0,1.7019505000062054,0,0,-4,null
14,1440p_debug,2,null,null,2025-03-26_19:49:05,170.74174399999902,正式 3，n4,punish_MS,3,3,1,1.0,1.2112033999874257,0,0,-2,null
14,1440p_debug,2,null,null,2025-03-26_19:49:14,179.81982250000874,正式 3，n4,punish_MS,3,4,2,1.0,2.2838198999961605,0,0,-5,null
14,1440p_debug,2,null,null,2025-03-26_19:49:23,188.95238820000668,正式 3，n4,punish_MS,3,5,2,1.0,2.277664499997627,1,1,4,null
14,1440p_debug,2,null,null,2025-03-26_19:49:33,199.19996920000995,正式 3，n4,punish_MS,3,6,3,1.0,3.9139901000016835,1,1,4,null
14,1440p_debug,2,null,null,2025-03-26_19:49:42,208.32078670000192,正式 3，n4,punish_MS,3,7,3,1.0,2.635323700000299,0,0,-6,null
