exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
23,2160p_debug,1,null,null,2025-03-27_15:10:16,16.208047700027237,练习，s2 + n2,neutral,0,0,0,0.75,9.993368499999633,0,1,5,null
23,2160p_debug,1,null,null,2025-03-27_15:10:26,25.47833380001248,练习，s2 + n2,neutral,0,1,0,0.75,3.5802291999862064,1,0,-6,null
23,2160p_debug,1,null,null,2025-03-27_15:10:39,39.16033540002536,正式 1，s4,neutral,1,0,0,0.75,2.450875599985011,1,0,-3,null
23,2160p_debug,1,null,null,2025-03-27_15:10:49,48.77412610000465,正式 1，s4,neutral,1,1,1,0.75,2.7151454999984708,1,1,3,null
23,2160p_debug,1,null,null,2025-03-27_15:11:05,64.6443504000199,正式 1，s4,neutral,1,2,2,0.75,9.355103299982147,1,1,6,null
23,2160p_debug,1,null,null,2025-03-27_15:11:14,73.6202741000161,正式 1，s4,neutral,1,3,3,0.75,3.332376500009559,1,0,-4,null
23,2160p_debug,1,null,null,2025-03-27_15:11:32,91.38359830001718,正式 2，n4,punish_MS,2,0,0,0.75,3.3020773000025656,0,1,6,null
23,2160p_debug,1,null,null,2025-03-27_15:11:41,101.26199620001717,正式 2，n4,punish_MS,2,1,1,0.75,3.3638781999761704,0,0,-5,null
23,2160p_debug,1,null,null,2025-03-27_15:11:49,109.29258600002504,正式 2，n4,punish_MS,2,2,2,0.75,2.2447958999837283,0,0,-4,null
23,2160p_debug,1,null,null,2025-03-27_15:12:03,122.93671050001285,正式 2，n4,punish_MS,2,3,3,0.75,8.077171499986434,0,0,-4,null
