exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:28:48,72.21401639998658,exercise,neutral,0,0,0,0.75,11.075565499981167,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:03,87.64554149998003,exercise,neutral,0,1,1,0.75,4.37652170000365,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:13,97.6295853999909,exercise,neutral,0,2,0,0.75,4.416728200012585,1,0,-4,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:23,107.43219649998355,exercise,neutral,0,3,1,0.75,4.395067500008736,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:36,121.00167899997905,formal_neutral,neutral,1,0,0,0.75,4.569019000016851,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:44,128.57763019998674,formal_neutral,neutral,1,1,0,0.75,2.3591103999933694,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:52,136.27879359998042,formal_neutral,neutral,1,2,1,0.75,2.4759159999957774,0,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:29:59,143.1383569999889,formal_neutral,neutral,1,3,1,0.75,1.9136603999941144,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:30:08,152.73986919998424,formal_neutral,neutral,1,4,2,0.75,4.276520099985646,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:30:17,161.28267129999585,formal_neutral,neutral,1,5,3,0.75,3.3031224999867845,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:30:25,170.06996849999996,formal_neutral,neutral,1,6,4,0.75,2.83642229999532,1,1,5,null
50,1440p_flscr,1,null,null,2025-03-27_19:30:36,180.30512079998152,formal_neutral,neutral,1,7,5,0.75,2.678889100003289,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:30:48,192.8085502999893,formal_neutral,neutral,1,8,2,0.75,3.874328299978515,0,0,-6,null
50,1440p_flscr,1,null,null,2025-03-27_19:31:02,206.3871833999874,formal_neutral,neutral,1,9,3,0.75,2.5855145000095945,0,0,-4,null
50,1440p_flscr,1,null,null,2025-03-27_19:31:09,214.08348819997627,formal_neutral,neutral,1,10,4,0.75,2.2652179999859072,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:31:19,223.75782239998807,formal_neutral,neutral,1,11,5,0.75,4.2030502000125125,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:32:00,264.2339180999843,formal_neutral,neutral,1,12,6,0.75,2.696477000019513,1,1,4,null
