sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-31_10:55:24,2.961,585,1,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-31_10:55:43,18.978,585,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,110,11,0,2,5,5,0,1,1,0,0,12.949,-1,null,null
2024-10-31_10:56:01,36.757,585,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,111,11,1,2,5,5,0,1,1,0,0,13.408,-1,null,null
2024-10-31_10:56:19,54.768,585,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,120,2,0,3,1,4,1,2,5,1,0,13.672,-1,null,null
2024-10-31_10:56:36,71.403,585,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,121,2,1,3,4,1,1,2,5,0,1,12.328,-1,null,null
2024-10-31_10:57:31,126.225,585,1,1,1,test,Female,0,Female,0,grid_exercise_3,0,130,11,0,13,7,26,4,1,4,3,1,50.407,-1,null,null
2024-10-31_10:58:16,172.139,585,1,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,12,23,5,4,2,9,1,3,39.101,-1,null,null
2024-10-31_10:58:33,188.620,585,1,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,1,6,0,0,1,5,0,0,12.047,-1,null,null
2024-10-31_10:58:58,214.019,585,1,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,5,13,6,1,0,0,0,1,20.973,-1,null,null
2024-10-31_10:59:12,227.247,585,1,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,2,4,6,0,1,1,0,0,8.741,-1,null,null
2024-10-31_10:59:28,243.204,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-31_10:59:28,243.519,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-31_10:59:31,246.585,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-31_10:59:31,246.814,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-31_10:59:34,249.181,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-31_10:59:34,249.523,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-31_10:59:36,251.503,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-31_10:59:36,252.002,585,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-31_10:59:36,252.026,585,1,1,1,test,Female,0,Female,0,STAGE_opinion,1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,11.888,-1,null,null
2024-10-31_10:59:48,263.990,585,1,1,1,test,Female,0,Female,0,STAGE_discussion,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,TOPIC/SAME: 相比于小组学习，我更喜欢传统的讲授式教学。
2024-10-31_11:00:02,277.372,585,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-31_11:00:02,277.737,585,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-31_11:00:04,279.989,585,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-31_11:00:05,280.444,585,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-31_11:00:07,282.671,585,1,1,1,test,Female,0,Female,0,opinion_choice,2,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
