sys_time,exp_num,exp_cfg,gender_sub1,age_sub1,gender_sub2,age_sub2,exp_time,sub_id,lable,score_total,score_a,score_b,notes
2024-04-15 13:08:27,344,1,Female,0,Female,0,4.158052799990401,0,rest_scan_stage1,NULL,NULL,NULL,NULL
2024-04-15 13:08:30,344,1,Female,0,Female,0,7.279585400014184,0,intro_stage1,NULL,NULL,NULL,NULL
2024-04-15 13:08:32,344,1,Female,0,Female,0,9.34227560000727,0,exersice,NULL,NULL,NULL,NULL
2024-04-15 13:08:40,344,1,Female,0,Female,0,16.675770400004694,1,stage0_sub1_gs8,-2,-1,-1,NULL
2024-04-15 13:08:45,344,1,Female,0,Female,0,22.12003590000677,1,stage0_sub1_gs9,-2,-1,-1,NULL
2024-04-15 13:08:53,344,1,Female,0,Female,0,30.3393175000092,2,stage0_sub2_gs8,-2,-1,-1,NULL
2024-04-15 13:08:56,344,1,Female,0,Female,0,33.55019119998906,1,stage0_sub1_gs2,-2,-1,-1,NULL
2024-04-15 13:09:02,344,1,Female,0,Female,0,38.750208799989196,1,stage0_sub1_gs5,-2,-1,-1,NULL
2024-04-15 13:09:11,344,1,Female,0,Female,0,48.474940200016135,1,stage0_sub1_gs4,-2,-1,-1,NULL
2024-04-15 13:09:13,344,1,Female,0,Female,0,50.481603199994424,2,stage0_sub2_gs9,-2,-1,-1,NULL
2024-04-15 13:09:16,344,1,Female,0,Female,0,52.80022510001436,1,stage0_sub1_gs7,-2,-1,-1,NULL
2024-04-15 13:09:19,344,1,Female,0,Female,0,56.47412669999176,1,stage0_sub1_gs0,-2,-1,-1,NULL
2024-04-15 13:09:23,344,1,Female,0,Female,0,59.7231424000056,1,stage0_sub1_gs6,-2,-1,-1,NULL
2024-04-15 13:09:25,344,1,Female,0,Female,0,62.30489790000138,2,stage0_sub2_gs2,-2,-1,-1,NULL
2024-04-15 13:09:27,344,1,Female,0,Female,0,63.85517809999874,1,stage0_sub1_gs1,-2,-1,-1,NULL
