exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
16,1440p_flscr,2,1,1,2024-11-24_18:21:02,1346.451373500051,trial_PGG,0,0,18.096,10,0.75,5,5,None
16,1440p_flscr,2,1,1,2024-11-24_18:23:09,1473.3898590998724,trial_PGG,1,0,27.556,10,0.75,10,3,None
16,1440p_flscr,2,1,1,2024-11-24_18:23:35,1499.459092099918,trial_PGG,1,1,15.988,10,0.75,10,5,None
16,1440p_flscr,2,1,1,2024-11-24_18:24:00,1523.73590469989,trial_PGG,1,2,14.210,10,0.75,10,9,None
16,1440p_flscr,2,1,1,2024-11-24_18:24:22,1546.2203091999982,trial_PGG,1,3,12.409,10,0.75,10,6,None
16,1440p_flscr,2,1,1,2024-11-24_18:24:42,1566.3767494000494,trial_PGG,1,4,10.096,10,0.75,10,7,None
16,1440p_flscr,2,1,1,2024-11-24_18:25:06,1590.0628186000977,trial_PGG,1,5,13.613,10,0.75,10,10,None
16,1440p_flscr,2,1,1,2024-11-24_18:25:24,1608.4198366000783,trial_PGG,1,6,8.292,10,0.75,10,8,None
16,1440p_flscr,2,1,1,2024-11-24_18:25:47,1630.6958427999634,trial_PGG,1,7,12.210,10,0.75,10,6,None
16,1440p_flscr,2,1,1,2024-11-24_18:26:15,1658.8775671999902,trial_PGG,1,8,18.120,10,0.75,10,10,None
16,1440p_flscr,2,1,1,2024-11-24_18:26:33,1677.0886888999958,trial_PGG,1,9,8.148,10,0.75,10,9,None
16,1440p_flscr,2,1,1,2024-11-24_18:26:57,1701.0244527000468,trial_PGG,1,10,13.875,10,0.75,10,8,None
16,1440p_flscr,2,1,1,2024-11-24_18:27:13,1717.4638239000924,trial_PGG,1,11,6.374,10,0.75,10,10,None
